Non-GPO,GPO
dl23.prevultparcountry,corporate_structure.company_ownership.prev_ult_par_country
dl23.prevultparname ,corporate_structure.company_ownership.prev_ult_par_name.commercial_name
dl23.prevultparregnum,corporate_structure.company_ownership.prev_ult_par_reg_number
dl23.regnumber      ,?
dl23.sharehlds      ,corporate_structure.company_ownership.corporate_shareholder
dl23.ultparcountry  ,corporate_structure.company_ownership.ult_par_country
dl23.ultparname     ,corporate_structure.company_ownership.ult_parent_detail.commercial_name
dl23.ultparregaddr1 ,corporate_structure.company_ownership.ult_parent_detail.business_location.location_line1
dl23.ultparregaddr2 ,corporate_structure.company_ownership.ult_parent_detail.business_location.location_line2
dl23.ultparregaddr3 ,corporate_structure.company_ownership.ult_parent_detail.business_location.location_line3
dl23.ultparregaddr4 ,corporate_structure.company_ownership.ult_parent_detail.business_location.location_line4
dl23.ultparregnum   ,corporate_structure.company_ownership.ult_par_reg_number
dl23.ultparregpostcode,corporate_structure.company_ownership.ult_parent_detail.business_location.postcode
dl23._seq           ,?
dl24                ,corporate_structure.subsidiaries.foreign_subsidiaries
dl26.agemostrecentccj,cc_js.age_most_recent_ccj
dl26.numccj0to72    ,cc_js.number_cc_js0_to72
dl26.numccj13to24   ,cc_js.number_cc_js13_to24
dl26.numccj25to36   ,cc_js.number_cc_js25_to36
dl26.numccj37to48   ,cc_js.number_cc_js37_to48
dl26.numccj49to60   ,cc_js.number_cc_js49_to60
dl26.numccj61to72   ,cc_js.number_cc_js61_to72
dl26.numccjlast12   ,cc_js.number_cc_js_last12_months
dl26.regnumber      ,?
dl26.valccj0to72    ,cc_js.value_cc_js0_to72
dl26.valccj13to24   ,cc_js.value_cc_js13_to24
dl26.valccj25to36   ,cc_js.value_cc_js25_to36
dl26.valccj37to48   ,cc_js.value_cc_js37_to48
dl26.valccj49to60   ,cc_js.value_cc_js49_to60
dl26.valccj61to72   ,cc_js.value_cc_js61_to72
dl26.valccjlast12   ,cc_js.value_cc_js_last12_months
dl26._seq           ,?
dl27.regnumber      ,?
dl27.summarycount   ,legal_notices.summary_count
dl27.summaryline    ,legal_notices.summary_line
dl27._seq           ,?
dl28.datemostrecmort_dd,mortgages.date_most_recent_mort
dl28.datemostrecmort_mm,mortgages.date_most_recent_mort
dl28.datemostrecmort_yyyy,mortgages.date_most_recent_mort
dl28.datemostrecsatfn_dd,mortgages.date_most_recent_sat
dl28.datemostrecsatfn_mm,mortgages.date_most_recent_sat
dl28.datemostrecsatfn_yyyy,mortgages.date_most_recent_sat
dl28.nummorts       ,mortgages.num_mortgages
dl28.numsatmorts    ,mortgages.num_sat_mortgages
dl28.numunsatmorts  ,mortgages.num_unsat_mortgages
dl28.recmortdateflg ,mortgages.rec_mort_date_flag
dl28.regnumber      ,?
dl28._seq           ,?
dl33.auditors       ,identification.auditor.auditors
dl33.auditorsremun  ,identification.auditor.remuneration
dl33.auditqual      ,identification.auditor.audit_qual
dl33.audittype      ,identification.auditor.audit_type
dl33.currency       ,identification.auditor.currency
dl33.dateaccs_dd    ,?
dl33.dateaccs_mm    ,?
dl33.dateaccs_yyyy  ,?
dl33.nonauditfee    ,identification.auditor.non_audit_fee
dl33.regnumber      ,?
dl33._seq           ,?
dl36.acidtestlower  ,financials.quartiles.full_quartiles.acid_test_lower
dl36.acidtestmedian ,financials.quartiles.full_quartiles.acid_test_median
dl36.acidtestupper  ,financials.quartiles.full_quartiles.acid_test_upper
dl36.avremunemplower,financials.quartiles.full_quartiles.avg_rem_per_emp_lower
dl36.avremunempmedian,financials.quartiles.full_quartiles.avg_rem_per_emp_median
dl36.avremunempupper,financials.quartiles.full_quartiles.avg_rem_per_emp_upper
dl36.borrowratiolower,financials.quartiles.full_quartiles.borrowing_ratio_lower
dl36.borrowratiomedian,financials.quartiles.full_quartiles.borrowing_ratio_median
dl36.borrowratiosupper,financials.quartiles.full_quartiles.borrowing_ratio_upper
dl36.capempldperemplower,financials.quartiles.full_quartiles.cap_employed_per_emp_lower
dl36.capempldperempmedian,financials.quartiles.full_quartiles.cap_employed_per_emp_median
dl36.capempldperempupper,financials.quartiles.full_quartiles.cap_employed_per_emp_upper
dl36.creditperiodlower,financials.quartiles.full_quartiles.credit_period_lower
