Non-GPO,GPO
dl83.valccj49to60   ,scoring_data.value_cc_js49_to60
dl83.valccj61to72   ,scoring_data.value_cc_js61_to72
dl83.valccjlast12   ,scoring_data.value_cc_js_last12_months
dl83.vallastccj     ,scoring_data.value_most_recent_ccj
dl83._seq           ,?
dl84.nummortchrgelast6yr,?
dl84.numsatmortchrges,scoring_data.num_sat_mortgages
dl84.numunsatmortchrges,scoring_data.num_unsat_mortgages
dl84.numunsatpartmortchrges,scoring_data.num_unsat_part_sat_mortgages
dl84.regnumber      ,?
dl84._seq           ,?
dl85.acctfichedate_dd,scoring_data.fiche_date
dl85.acctfichedate_mm,scoring_data.fiche_date
dl85.acctfichedate_yyyy,scoring_data.fiche_date
dl85.acidtest       ,scoring_data.acid_test
dl85.auditqual      ,scoring_data.auditors_qualifications
dl85.audittype      ,scoring_data.audit_type
dl85.basetrendshfunds,scoring_data.base_trend_shareholders_funds
dl85.borrowingratio ,scoring_data.borrowing_ratio
dl85.capitalemployed,scoring_data.capital_employed
dl85.companyclass   ,scoring_data.company_class
dl85.consolidatedaccts,scoring_data.cons_accounts
dl85.credperiod     ,scoring_data.credit_period
dl85.curacctsavail  ,scoring_data.curr_accs_availabe
dl85.currency       ,?
dl85.currencyprevaccts,scoring_data.prev_accs_currency
dl85.currentassetstotal,scoring_data.total_current_assets
dl85.currentliabilitiestotal,scoring_data.total_current_liabilities
dl85.currentratio   ,scoring_data.currentratio
dl85.dateofaccounts_dd,scoring_data.date_of_accounts
dl85.dateofaccounts_mm,scoring_data.date_of_accounts
dl85.dateofaccounts_yyyy,scoring_data.date_of_accounts
dl85.debtgear       ,scoring_data.debt_gearing
dl85.dividends      ,scoring_data.dividends
dl85.dormancyflg    ,scoring_data.dormancy_flag
dl85.equitygear     ,scoring_data.equity_gearing
dl85.filedaccountstype,scoring_data.filed_accs_type
dl85.fixedassetstotal,scoring_data.fixed_assets
dl85.grossassets    ,scoring_data.gross_assets
dl85.intangibleassets,scoring_data.intangible_assets
dl85.issuedcapital  ,?
dl85.latenessaccts  ,scoring_data.lateness_accounts
dl85.latestaccstype ,scoring_data.latest_accounts_type
dl85.liquidityratio ,scoring_data.liquidity_standard_ratio
dl85.networth       ,scoring_data.net_worth
dl85.numdaystofileaccs,scoring_data.number_days_to_file
dl85.numofweeks     ,?
dl85.numyrsacctsavail,scoring_data.num_years_accos_available
dl85.numyrspretaxproflst4yrs,scoring_data.num_years_pre_tax_profit_less_than0_last4_years
dl85.outofdateflg   ,scoring_data.out_of_date_flag
dl85.perccapemploftotassts,scoring_data.capital_employed_percent_total_assets
dl85.percchngecapempld,scoring_data.percent_change_capital_employed
dl85.percchngecurratio,scoring_data.percent_change_current_ratio
dl85.percchngepretaxprofloss,scoring_data.percent_change_pre_tax_profit_loss
dl85.percchngeshfunds,scoring_data.percent_change_shareholders_funds
dl85.percchngetotassts,scoring_data.percent_change_total_assets
dl85.perccurliaboftotassts,scoring_data.current_liabilities_percent_total_assets
dl85.percfasstsoftotassts,scoring_data.total_fixed_assets_percent_total_assets
dl85.percstockofcurassts,scoring_data.stocks_work_in_progress_percent_current_assets
dl85.percworkcapofcurplusfa,scoring_data.working_capital_percent_current_plus_fixed_assets
dl85.pretaxmargin   ,scoring_data.pre_tax_profit_margin
dl85.pretaxmarginquartile,scoring_data.pre_tax_margin_quartile
dl85.pretaxprofitloss,scoring_data.pre_tax_profit_loss
dl85.prevacctsavail ,scoring_data.prev_accs_availabile
dl85.prevacctsdormflg,scoring_data.prev_accounts_dormancy_flag
dl85.prevconsolaccts,scoring_data.prev_accs_cons_accounts
dl85.regnumber      ,?
dl85.retainedearnings,scoring_data.retained_earnings
dl85.retainedprofitloss,scoring_data.retained_profit
dl85.retnonassets   ,scoring_data.return_on_assets
dl85.retnonasstsquartile,scoring_data.return_on_assets_quartile
dl85.retnoncap      ,scoring_data.return_on_capital
dl85.revaluationreserves,scoring_data.revaluation_reserves
dl85.shorttermloans ,scoring_data.short_loans
dl85.sincelastacctssubmtd,scoring_data.time_since_last_accs_submitted
dl85.sincelastretnssubmtd,scoring_data.time_since_last_rets_submitted
dl85.totallongtermliabilities,scoring_data.total_long_term_liabilities
dl85.totalshareholdersfunds,scoring_data.shareholders_funds
dl85.totalturnover  ,scoring_data.total_turnover
dl85.totassets      ,scoring_data.total_assets
dl85.totassets_emp  ,scoring_data.tot_assets_emp
dl85.turn_emp       ,scoring_data.turnover_per_emp
dl85.workingcapital ,scoring_data.working_capital
dl85._seq           ,?
dl86.agemostrecent  ,scoring_data.limited_company_delphi_cais.age_most_recent
dl86.avgbalownaccounts,scoring_data.limited_company_delphi_cais.avg_balance_own_accounts
dl86.balanceactiveaccounts,scoring_data.limited_company_delphi_cais.balance_active_accounts
dl86.numactiveaccounts,scoring_data.limited_company_delphi_cais.num_active_accounts
dl86.numdefaults    ,scoring_data.limited_company_delphi_cais.num_defaults
dl86.numownaccounts ,scoring_data.limited_company_delphi_cais.num_own_accounts
dl86.numsettled     ,scoring_data.limited_company_delphi_cais.num_settled
dl86.regnumber      ,?
dl86.totalbalownaccounts,scoring_data.limited_company_delphi_cais.total_balance_own_accounts
dl86.valdefaults    ,scoring_data.limited_company_delphi_cais.value_defaults
dl86.worststatusactive,scoring_data.limited_company_delphi_cais.worst_status_active
dl86.worststatusold ,scoring_data.limited_company_delphi_cais.worst_status_old
dl86._seq           ,?
dl87.comdelphioverrideflg,?
dl87.comdelphiscore ,?
dl87.credcodeoverrideflg,?
dl87.creditcode     ,?
dl87.creditlimit    ,?
dl87.creditrating   ,?
dl87.credlimitoverrideflg,?
dl87.credratoverrideflg,?
dl87.regnumber      ,?
dl87._seq           ,?
dl88.numunpaidacctslstmth,?
dl88.percchngedbtlst3mth,?
dl88.ppavcurrdbt    ,?
dl88.ppavnumexperlst3mth,?
dl88.ppnumaccts4colnlst12mth,?
dl88.regnumber      ,?
dl88._seq           ,?
dl89.regnumber      ,?
dl89.rptupdateflag  ,scoring_data.report_update_flag
dl89._seq           ,?
dl95.agesincelast89 ,ltd_company_cais.ltd_company_cais_summary.age_since_last89
dl95.monthcount     ,ltd_company_cais.ltd_company_cais_summary.month_count
dl95.monthlydata    ,ltd_company_cais.ltd_company_cais_summary.monthly_data
dl95.regnumber      ,?
dl95._seq           ,?
dl96.agesincelast89 ,limited_company_cais_members_summary.age_since_last89
dl96.monthcount     ,limited_company_cais_members_summary.month_count
dl96.monthlydata    ,limited_company_cais_members_summary.monthly_data
dl96.regnumber      ,?
dl96._seq           ,?
dl97                ,ltd_company_cais.ltd_company_cais_details
dl99                ,financials.accounts 
dla2                ,financials.ratios   
dla4.avremunempchg  ,financials.percentage_change.percent_change_avg_emp_per_rem
dla4.borrowingchg   ,financials.percentage_change.percent_change_borrowing_ratio
dla4.capempchg      ,financials.percentage_change.percent_change_capital_employed
dla4.compclass      ,financials.percentage_change.company_class
dla4.consaccs       ,financials.percentage_change.cons_accounts
dla4.credperiodchg  ,financials.percentage_change.percent_change_credit_period
dla4.curassetstotchg,financials.percentage_change.percent_change_current_assets
dla4.curliabstotchg ,financials.percentage_change.percent_change_current_liabilities
dla4.currency       ,financials.percentage_change.currency
dla4.currentchg     ,?
dla4.dateaccs_dd    ,financials.percentage_change.date_of_accounts
dla4.dateaccs_mm    ,financials.percentage_change.date_of_accounts
dla4.dateaccs_yyyy  ,financials.percentage_change.date_of_accounts
dla4.debtgearchg    ,financials.percentage_change.percent_change_debt_gearing
dla4.equitygearchg  ,financials.percentage_change.percent_change_equity_gearing
dla4.expturnchg     ,financials.percentage_change.percent_change_export_turnover
dla4.fixedassetestotchg,financials.percentage_change.percent_change_fixed_assets
dla4.grossassetschg ,financials.percentage_change.percent_change_gross_asset
dla4.issuedcapchg   ,financials.percentage_change.percent_change_issued_capital
dla4.netcurassetschg,?
dla4.networthchg    ,financials.percentage_change.percent_change_net_worth
dla4.numempschg     ,financials.percentage_change.percent_change_num_employees
dla4.pretaxproflosschg,financials.percentage_change.percent_change_pre_tax_profit_loss
dla4.pretaxprofmargchg,financials.percentage_change.percent_change_pre_tax_profit_margin
dla4.profempchg     ,financials.percentage_change.percent_change_prof_per_emp
dla4.regnumber      ,?
dla4.retdearningschg,financials.percentage_change.percent_change_retained_earnings
dla4.retdproflosschg,financials.percentage_change.percent_change_retained_profit_loss
dla4.retncapitalchg ,financials.percentage_change.percent_change_return_on_capital
dla4.totnetassetchg ,?
dla4.totshldrsfundschg,financials.percentage_change.percent_change_shareholders_funds
dla4.totturnchg     ,financials.percentage_change.percent_change_total_turnover
dla4.turnempchg     ,financials.percentage_change.percent_change_turnover_per_emp
dla4.ukturnchg      ,financials.percentage_change.percent_change_uk_turnover
dla4.weeks          ,?
dla4._seq           ,?
dla5                ,financials.cashflow 
dla7.overrideind    ,commercial_delphi_history.company_history.override_indicator
dla7.regnumber      ,?
dla7.riskband       ,commercial_delphi_history.company_history.comm_delphi_band
dla7.riskbandtext   ,commercial_delphi_history.company_history.comm_delphi_band_text
dla7.riskscore      ,commercial_delphi_history.company_history.comm_delphi_score
dla7.scorehistory   ,commercial_delphi_history.company_history.score_history
dla7.scorehistorycount,commercial_delphi_history.company_history.score_history_count
dla7.stabilityodds  ,commercial_delphi_history.company_history.stability_odds
dla7.textcount      ,commercial_delphi_history.company_history.text_count
dla7._seq           ,?
dlb1.lastupdateddate,identification.thomson_data.last_updated_date
dlb1.regnumber      ,?
dlb1.thomsoncustomernumber,identification.thomson_data.thomson_cust_number
dlb1.thomsonpremisecode,identification.thomson_data.thomson_premise_code
dlb1.url            ,identification.thomson_data.url
dlb1._seq           ,?
dlb2.bulklist       ,?
dlb2.curprevflag    ,?
dlb2.dateloaded_dd  ,?
dlb2.dateloaded_mm  ,?
dlb2.dateloaded_yyyy,?
dlb2.doctype        ,?
dlb2.effectivedate_dd,?
dlb2.effectivedate_mm,?
dlb2.effectivedate_yyyy,?
dlb2.issuedcapital  ,?
dlb2.issuingcompany ,?
dlb2.latestdatecurr_dd,?
dlb2.latestdatecurr_mm,?
dlb2.latestdatecurr_yyyy,?
dlb2.latestdateupdate_dd,?
dlb2.latestdateupdate_mm,?
dlb2.latestdateupdate_yyyy,?
dlb2.legalstatus    ,?
dlb2.recordtype     ,?
dlb2.suppressinfo   ,?
dlb2._seq           ,?
dlb3                ,shareholders.share_capital
dlb4                ,shareholders.shareholdings
dlb5                ,shareholders.shareholder
dlb6.notecount      ,?
dlb6.notelen        ,?
dlb6.notes          ,?
dlb6.regnumber      ,?
dlb6._seq           ,?
dlb7.age_compgroup  ,commercial_delphi_history.sector_score.age_comp_group
dlb7.age_compsector ,commercial_delphi_history.sector_score.age_comp_sector
dlb7.age_histscore  ,commercial_delphi_history.sector_score.age_historical_score.age_historical_average_delphi_score
dlb7.age_recentriskscore,?
dlb7.age_stabilityodds,commercial_delphi_history.sector_score.age_average_stability_odds
dlb7.all_compgroup  ,commercial_delphi_history.sector_score.all_comp_group
dlb7.all_histscore  ,commercial_delphi_history.sector_score.all_historical_score.all_historical_average_delphi_score
dlb7.all_recentriskscore,?
dlb7.all_stabilityodds,commercial_delphi_history.sector_score.all_average_stability_odds
dlb7.ind_compgroup  ,commercial_delphi_history.sector_score.ind_comp_group
dlb7.ind_compsector ,commercial_delphi_history.sector_score.ind_comp_sector
dlb7.ind_histscore  ,commercial_delphi_history.sector_score.ind_historical_score.ind_historical_average_delphi_score
dlb7.ind_recentriskscore,?
dlb7.ind_stabilityodds,commercial_delphi_history.sector_score.ind_average_stability_odds
dlb7.regnumber      ,?
dlb7.scorehistorydate,commercial_delphi_history.sector_score.score_history_date
dlb7.scorerecentdate_dd,commercial_delphi_history.sector_score.recent_snapshot_date
dlb7.scorerecentdate_mm,commercial_delphi_history.sector_score.recent_snapshot_date
dlb7.scorerecentdate_yyyy,commercial_delphi_history.sector_score.recent_snapshot_date
dlb7.size_compgroup ,commercial_delphi_history.sector_score.size_comp_group
dlb7.size_compsector,commercial_delphi_history.sector_score.size_comp_sector
dlb7.size_histscore ,commercial_delphi_history.sector_score.size_historical_score.size_historical_average_delphi_score
dlb7.size_recentriskscore,?
dlb7.size_stabilityodds,commercial_delphi_history.sector_score.size_average_stability_odds
dlb7._seq           ,?
dlb8.age_compgroup  ,commercial_delphi_history.sector_ranking.age_comp_group
dlb8.age_compsector ,commercial_delphi_history.sector_ranking.age_comp_sector
dlb8.age_numhigherscore,commercial_delphi_history.sector_ranking.age_number_higher_score
dlb8.age_numinsector,commercial_delphi_history.sector_ranking.age_number_sector
dlb8.age_numlowerscore,commercial_delphi_history.sector_ranking.age_number_lower_score
dlb8.age_numsamescore,commercial_delphi_history.sector_ranking.age_number_same_score
dlb8.age_percentile ,commercial_delphi_history.sector_ranking.age_percentile
dlb8.age_percinsector,commercial_delphi_history.sector_ranking.age_percent_sector
dlb8.all_compgroup  ,commercial_delphi_history.sector_ranking.all_comp_group
dlb8.all_numhigherscore,commercial_delphi_history.sector_ranking.all_number_higher_score
dlb8.all_numinsector,commercial_delphi_history.sector_ranking.all_number_sector
dlb8.all_numlowerscore,commercial_delphi_history.sector_ranking.all_number_lower_score
dlb8.all_numsamescore,commercial_delphi_history.sector_ranking.all_number_same_score
dlb8.all_percentile ,commercial_delphi_history.sector_ranking.all_percentile
dlb8.all_percinsector,commercial_delphi_history.sector_ranking.all_percent_sector
dlb8.ind_compgroup  ,commercial_delphi_history.sector_ranking.ind_comp_group
dlb8.ind_compsector ,commercial_delphi_history.sector_ranking.ind_comp_sector
dlb8.ind_numhigherscore,commercial_delphi_history.sector_ranking.ind_number_higher_score
dlb8.ind_numinsector,commercial_delphi_history.sector_ranking.ind_number_sector
dlb8.ind_numlowerscore,commercial_delphi_history.sector_ranking.ind_number_lower_score
dlb8.ind_numsamescore,commercial_delphi_history.sector_ranking.ind_number_same_score
dlb8.ind_percentile ,commercial_delphi_history.sector_ranking.ind_percentile
dlb8.ind_percinsector,commercial_delphi_history.sector_ranking.ind_percent_sector
dlb8.regnumber      ,?
dlb8.size_compgroup ,commercial_delphi_history.sector_ranking.size_comp_group
dlb8.size_compsector,commercial_delphi_history.sector_ranking.size_comp_sector
dlb8.size_numhigherscore,commercial_delphi_history.sector_ranking.size_number_higher_score
dlb8.size_numinsector,commercial_delphi_history.sector_ranking.size_number_sector
dlb8.size_numlowerscore,commercial_delphi_history.sector_ranking.size_number_lower_score
dlb8.size_numsamescore,commercial_delphi_history.sector_ranking.size_number_same_score
dlb8.size_percentile,commercial_delphi_history.sector_ranking.size_percentile
dlb8.size_percinsector,commercial_delphi_history.sector_ranking.size_percent_sector
dlb8._seq           ,?
dlb9.age_compgroup  ,commercial_delphi_history.sectors.age_comp_group
dlb9.age_compgroupname,commercial_delphi_history.sectors.age_comp_group_name
dlb9.age_compsector ,commercial_delphi_history.sectors.age_comp_group_sector
dlb9.age_compsectornameend,commercial_delphi_history.sectors.age_comp_group_sector_end_date
dlb9.age_compsectornamestart,commercial_delphi_history.sectors.age_comp_group_sector_start_date
dlb9.all_compgroup  ,commercial_delphi_history.sectors.all_comp_group
dlb9.all_compgroupname,commercial_delphi_history.sectors.all_comp_group_name
dlb9.ind_compgroup  ,commercial_delphi_history.sectors.ind_comp_group
dlb9.ind_compgroupname,commercial_delphi_history.sectors.ind_comp_group_name
dlb9.ind_compsector ,commercial_delphi_history.sectors.ind_comp_group_sector
dlb9.ind_compsectorname,commercial_delphi_history.sectors.ind_comp_group_sector_name
dlb9.regnumber      ,?
dlb9.size_compgroup ,commercial_delphi_history.sectors.size_comp_group
dlb9.size_compgroupname,commercial_delphi_history.sectors.size_comp_group_name
dlb9.size_compsector,commercial_delphi_history.sectors.size_comp_group_sector
dlb9.size_compsectornameend,commercial_delphi_history.sectors.size_comp_group_sector_upper_bound
dlb9.size_compsectornamestart,commercial_delphi_history.sectors.size_comp_group_sector_lower_bound
dlb9._seq           ,?
dm12.noccount       ,notice_of_correction.num_corrections
dm12._seq           ,?
_exp_experianref    ,?
_id                 ,?
_subtype            ,?
_success            ,?
_timestamp          ,?
_type               ,?
capture_date        ,__event_date
company_uuid        ,?
dlb2.latestdateprev_dd,?
dlb2.latestdateprev_mm,?
dlb2.latestdateprev_yyyy,?
dlb2.lastlistdate_dd,?
dlb2.lastlistdate_mm,?
dlb2.lastlistdate_yyyy,?
dl60.adminiraddr1   ,?
dl60.adminiraddr2   ,?
dl60.adminirfrmname ,?
dl60.adminirname    ,?
dl60.adminirpostcode,?
dl60.adminrdischgedate_dd,?
dl60.adminrdischgedate_mm,?
dl60.adminrdischgedate_yyyy,?
dl60.regnumber      ,?
dl60._seq           ,?
dl60.adminiraddr3   ,?
dk11.caisflag       ,?
dk11.caissource     ,?
dk11.cifasflag      ,?
dk11.demoflag       ,?
dk11.pperfuser      ,?
dk11._seq           ,?
dk13.accessitems    ,?
dk13.accessitemscount,?
dk13._seq           ,?
dl25.creditcode     ,?
dl25.creditcodetxt  ,?
dl25.credittxt      ,?
dl25.lencreditcodeabstxt,?
dl25.lencreditcodetxt,?
dl25.lencredittxt   ,?
dl25.regnumber      ,?
dl25.updateavail    ,?
dl25._seq           ,?
dl39.lenriskindabs  ,?
dl39.lenriskindnarr ,?
dl39.regnumber      ,?
dl39.riskindex      ,?
dl39.riskindnarr    ,?
dl39._seq           ,?
dr50.legalstatus    ,?
dr50.monitorstatus  ,?
dr50.urn            ,?
dr50._seq           ,?
kptd.alertreview    ,?
kptd.allowoptout    ,?
kptd.blockversion   ,?
kptd.dbprompt       ,?
kptd.dbtype         ,?
kptd.declink        ,?
kptd.filler         ,?
kptd.inhousecomp    ,?
kptd.permoptout     ,?
kptd.tpcomp         ,?
kptd.transassoc     ,?
kptd._seq           ,?
dm11.nocref         ,?
dm11.noctext        ,?
dm11._seq           ,?
dld5                ,?
dld6                ,?
dld7.monthcount     ,?
dld7.monthlydata    ,?
dld7.regnumber      ,?
dld7.sourcecode     ,?
dld7._seq           ,?
dl60.adminiraddr4   ,?
dl60.adminiraddr5   ,?
processed_year      ,?
processed_month     ,?
processed_day       ,?
