weights,score
"(1, 9, 10)",0.5877342419080068
"(1, 8, 9)",0.5843270868824532
"(1, 8, 10)",0.5843270868824532
"(1, 9, 9)",0.5809199318568995
"(1, 10, 10)",0.5792163543441227
"(1, 8, 8)",0.5724020442930153
"(1, 7, 10)",0.5724020442930153
"(1, 7, 9)",0.5724020442930153
"(1, 7, 8)",0.5724020442930153
"(1, 10, 9)",0.5689948892674617
"(1, 6, 8)",0.555366269165247
"(1, 6, 10)",0.555366269165247
"(1, 6, 9)",0.555366269165247
"(1, 6, 7)",0.555366269165247
"(1, 7, 7)",0.5485519591141397
"(1, 9, 8)",0.5468483816013628
"(1, 8, 7)",0.5264054514480409
"(1, 5, 9)",0.524701873935264
"(1, 5, 6)",0.524701873935264
"(1, 5, 7)",0.524701873935264
"(1, 5, 8)",0.524701873935264
"(1, 5, 10)",0.524701873935264
"(1, 6, 6)",0.5229982964224872
"(1, 10, 8)",0.5212947189097104
"(1, 9, 7)",0.5093696763202725
"(1, 7, 6)",0.5076660988074957
"(1, 10, 7)",0.4957410562180579
"(2, 10, 10)",0.4940374787052811
"(1, 5, 5)",0.4940374787052811
"(1, 8, 6)",0.4906303236797274
"(1, 6, 5)",0.4855195911413969
"(1, 9, 6)",0.47700170357751276
"(2, 9, 10)",0.47018739352640543
"(2, 10, 9)",0.46678023850085176
"(1, 10, 6)",0.46507666098807493
"(1, 7, 5)",0.46337308347529815
"(1, 4, 10)",0.454855195911414
"(1, 4, 6)",0.454855195911414
"(1, 4, 7)",0.454855195911414
"(1, 4, 8)",0.454855195911414
"(1, 4, 9)",0.454855195911414
"(2, 8, 10)",0.454855195911414
"(1, 4, 5)",0.454855195911414
"(1, 8, 5)",0.4497444633730835
"(2, 9, 9)",0.4497444633730835
"(2, 10, 8)",0.434412265758092
"(1, 5, 4)",0.434412265758092
"(2, 8, 9)",0.43100511073253833
"(1, 9, 5)",0.43100511073253833
"(1, 10, 5)",0.424190800681431
"(2, 7, 9)",0.4122657580919932
"(2, 7, 10)",0.4122657580919932
"(2, 9, 8)",0.40545144804088584
"(1, 6, 4)",0.40545144804088584
"(1, 7, 4)",0.393526405451448
"(2, 8, 8)",0.3901192504258944
"(1, 4, 4)",0.3901192504258944
"(2, 7, 8)",0.38841567291311757
"(1, 8, 4)",0.38160136286201024
"(2, 10, 7)",0.3679727427597956
"(2, 6, 10)",0.3628620102214651
"(1, 3, 5)",0.3628620102214651
"(1, 3, 6)",0.3628620102214651
"(1, 3, 7)",0.3628620102214651
"(1, 3, 8)",0.3628620102214651
"(1, 3, 9)",0.3628620102214651
"(1, 3, 4)",0.3628620102214651
"(2, 6, 8)",0.3628620102214651
"(1, 3, 10)",0.3628620102214651
"(2, 6, 9)",0.3628620102214651
"(2, 8, 7)",0.36115843270868825
"(2, 9, 7)",0.35604770017035775
"(1, 9, 4)",0.3543441226575809
"(2, 7, 7)",0.34582623509369675
"(2, 6, 7)",0.3441226575809199
"(1, 10, 4)",0.3424190800681431
"(3, 10, 10)",0.3339011925042589
"(3, 9, 10)",0.3270868824531516
"(3, 10, 9)",0.31175468483816016
"(2, 7, 6)",0.3083475298126065
"(1, 5, 3)",0.3049403747870528
"(2, 8, 6)",0.3049403747870528
"(2, 10, 6)",0.3049403747870528
"(1, 4, 3)",0.3049403747870528
"(3, 8, 10)",0.30153321976149916
"(2, 9, 6)",0.29982964224872233
"(1, 6, 3)",0.2981260647359455
"(2, 5, 8)",0.29471890971039183
"(2, 5, 9)",0.29471890971039183
"(2, 5, 7)",0.29471890971039183
"(2, 5, 10)",0.29471890971039183
"(1, 3, 3)",0.29131175468483816
"(2, 6, 6)",0.29131175468483816
"(3, 9, 9)",0.29131175468483816
"(3, 7, 10)",0.27938671209540034
"(1, 7, 3)",0.27938671209540034
"(3, 8, 9)",0.2776831345826235
"(2, 5, 6)",0.27427597955706984
"(1, 8, 3)",0.262350936967632
"(3, 9, 8)",0.25894378194207834
"(3, 7, 9)",0.2572402044293015
"(3, 10, 8)",0.2555366269165247
"(3, 8, 8)",0.24190800681431004
"(1, 9, 3)",0.2402044293015332
"(2, 7, 5)",0.23850085178875638
"(1, 10, 3)",0.23850085178875638
"(2, 8, 5)",0.23679727427597955
"(1, 2, 8)",0.23509369676320271
"(1, 2, 9)",0.23509369676320271
"(1, 2, 10)",0.23509369676320271
"(1, 2, 7)",0.23509369676320271
"(2, 6, 5)",0.23509369676320271
"(3, 6, 10)",0.23509369676320271
"(1, 2, 5)",0.23509369676320271
"(1, 2, 4)",0.23509369676320271
"(2, 4, 6)",0.23509369676320271
"(3, 6, 9)",0.23509369676320271
"(2, 4, 7)",0.23509369676320271
"(2, 4, 8)",0.23509369676320271
"(2, 4, 9)",0.23509369676320271
"(2, 4, 10)",0.23509369676320271
"(1, 2, 3)",0.23509369676320271
"(1, 2, 6)",0.23509369676320271
"(2, 5, 5)",0.23339011925042588
"(4, 10, 10)",0.23339011925042588
"(3, 7, 8)",0.23168654173764908
"(2, 10, 5)",0.22657580919931858
"(2, 9, 5)",0.22657580919931858
"(4, 9, 10)",0.22487223168654175
"(3, 6, 8)",0.22146507666098808
"(4, 8, 10)",0.21805792163543442
"(2, 4, 5)",0.21805792163543442
"(3, 8, 7)",0.21805792163543442
"(3, 7, 7)",0.21465076660988075
"(3, 9, 7)",0.21294718909710392
"(3, 5, 10)",0.21124361158432708
"(3, 5, 9)",0.21124361158432708
"(3, 5, 8)",0.21124361158432708
"(4, 7, 10)",0.21124361158432708
"(3, 6, 7)",0.21124361158432708
"(4, 9, 9)",0.20783645655877342
"(4, 10, 9)",0.20783645655877342
"(4, 8, 9)",0.20442930153321975
"(3, 10, 7)",0.20442930153321975
"(3, 5, 7)",0.2010221465076661
"(2, 3, 10)",0.19761499148211242
"(2, 3, 9)",0.19761499148211242
"(4, 7, 9)",0.19761499148211242
"(4, 6, 10)",0.19761499148211242
"(2, 3, 5)",0.19761499148211242
"(2, 3, 6)",0.19761499148211242
"(2, 3, 7)",0.19761499148211242
"(2, 3, 8)",0.19761499148211242
"(4, 6, 9)",0.18739352640545145
"(4, 7, 8)",0.18739352640545145
"(5, 9, 10)",0.18739352640545145
"(3, 4, 7)",0.18568994889267462
"(3, 4, 8)",0.18568994889267462
"(3, 4, 9)",0.18568994889267462
"(3, 4, 10)",0.18568994889267462
"(3, 6, 6)",0.18568994889267462
"(5, 10, 10)",0.18568994889267462
"(4, 8, 8)",0.18568994889267462
"(2, 4, 4)",0.18568994889267462
"(1, 2, 2)",0.18568994889267462
"(3, 5, 6)",0.18228279386712096
"(4, 9, 8)",0.18228279386712096
"(3, 7, 6)",0.18057921635434412
